ERC20 most sent token type,count
EOS,120
OmiseGO,109
Golem,109
blockwell.ai KYC Casper Token,108
StatusNetwork,51
BAT,31
Bancor,25
Reputation,24
Qtum,23
TenXPay,21
Tronix,18
Aragon,17
Crypto.com,17
ICONOMI,16
Veritaseum,15
Aeternity,15
Civic,14
ZRX,11
TokenCard,10
VeChain,9
Cofoundit,9
Storj,9
Patientory,8
SONM,8
Livepeer Token,8
minereum,8
Populous,8
MobileGo,7
Bytom,7
Humaniq,7
WINGS,7
XENON,7
Dao.Casino,6
DICE,6
Mysterium,6
TAAS,6
Ether,6
AdEx,6
district0x,6
UG Token,6
,5
REP,5
Decentraland,5
TIME,5
KyberNetwork,5
SwarmCity,5
EnjinCoin,5
BNB,5
DATAcoin,5
Salt,5
TheDAO,4
Kin,4
Trustcoin,4
Edgeless,4
FunFair,4
DGD,4
PILLAR,4
Gnosis,4
ICON,4
Individual Content &amp; Skill Token,3
Monetha,3
Guppy,3
DCORP,3
Request,3
AION,3
bitqy,3
VIU,3
RipioCreditNetwork,3
UnikoinGold,3
UTRUST,3
Tierion Network Token,3
CRYPTOPUNKS,3
Numeraire,2
SingularityNET,2
Wrapped Ether,2
WaykiCoin,2
HuobiToken,2
Telcoin,2
Soarcoin,2
KickCoin,2
OCoin,2
SNGLS,2
SIGMA,2
MCAP,2
SAN,2
MKR,2
Mithril Token,2
Relex,2
Raiden,2
Polymath,2
PRG,2
GRID,2
Loopring,2
vSlice,2
Ethos,2
AnyCoinVer10,2
Dragon,2
AVT,2
BizCoin,2
Ether Token,2
ERC20,2
CoinBene Coin,2
BMChain Token,1
Stox,1
Blocktix,1
BlockchainPoland,1
Blackmoon Crypto Token,1
BIX Token,1
Storm,1
The Token Fund,1
Substratum,1
BUZCOIN,1
SunContract,1
TezosTKN,1
Snovio,1
BitDice,1
Banker Token,1
TRUE Token,1
Synthetix Network Token,1
Bounty0x,1
ThoreCash,1
Celsius,1
RUFF,1
Cobinhood,1
Rebellious,1
Cindicator,1
Republic,1
CharterCoin,1
ChangeBank,1
Centra,1
SCAM Seal Token,1
Sether,1
SCAM Stamp Token,1
Cashaa,1
SIRIN,1
Cai Token,1
CCRB,1
Brickblock,1
SanDianZhong,1
SeratioCoin,1
Theta Token,1
Trace,1
BCShareS,1
BCG.to,1
WePower,1
Adshares,1
Aditus,1
Yun Planet,1
ZMINE Token,1
Zilliqa,1
ARBITRAGE,1
0xcert Protocol Token,1
0xBitcoin Token,1
dmb.top,1
eBTC,1
eosDAC Community Owned EOS Block Producer ERC20 Tokens,1
ethereumAI Token,1
iXledger,1
'',1
realchain,1
tq2342.mjbsc.com Online casino,1
Aeron,1
WanCoin,1
WaBi,1
Arcona Distribution Contract,1
Tokenomy,1
Trade,1
BCDN,1
TrueFlip,1
TrueUSD,1
BANKEX,1
BANCA,1
ArcBlock,1
Aigang,1
UnlimitedIP Token,1
UselessEthereumToken,1
VIB,1
AppCoins,1
AirSwap,1
Vezt,1
WIKI Token,1
REX - Real Estate tokens,1
Fantom Token,1
RCoinVer70,1
LEADCOIN,1
IDEX Membership,1
IDICE,1
IOT Chain,1
IUNGO,1
ELF,1
KEY,1
Dochain,1
Divi Exchange Token,1
Litecoin One,1
FinShi Capital Tokens,1
Digix Gold Token,1
LocalCoinSwap dividend token 2019Q1,1
Loom,1
$7RIP$,1
LuckCash,1
Lucky Token,1
Lunyr,1
Delta,1
ETHWrapper,1
ICO,1
IBCCoin,1
I HOUSE TOKEN,1
Flyp.me,1
Friendz Coin,1
Fair Token,1
FOAM Token,1
Genaro X,1
Guaranteed Entrance Token,1
Ethbits,1
HOQU Token,1
HackerGold,1
Happy Coin,1
Hawala,1
HeroCoin,1
Herocoin,1
Hiveterminal Token,1
Enigma,1
EduCoin,1
Hydro,1
Decent.Bet Token,1
MOT,1
MT Token,1
OpenANX,1
Crypto20,1
POWERBANK,1
Crypterium,1
Covesting,1
Piggies,1
Pluton,1
Po.et,1
Poker Chips,1
Countinghouse Fund,1
CoinDash,1
PowerLedger,1
Primas,1
Propy,1
Pundi X Token,1
QASH,1
QRL,1
QUBE,1
Opus,1
CryptoLah,1
Magna,1
CultureVirtue,1
Mavrodi,1
Measurable Data Token,1
Melon,1
Merculet,1
Dai Stablecoin v1.0,1
DRP Utility,1
Moeda Loyalty Points,1
DNA,1
Mothership,1
DAPSTOKEN,1
NapoleonX,1
Nebula AI Token,1
Nebulas,1
Nexium,1
NimiqNetwork,1
Not,1
DADI,1
CoinBoin,1
